show_id;type;title;director;country;date_added;release_year;rating;duration;listed_in;cast_1;cast_2;cast_3;cast_4;cast_5;cast_6;cast_7;cast_8;cast_9;cast_10;cast_11;cast_12;cast_13;cast_14;cast_15;cast_16;cast_17;cast_18;cast_19;cast_20;cast_21;cast_22;cast_23;cast_24;cast_25;cast_26;cast_27;cast_28;cast_29;cast_30;cast_31;cast_32;cast_33;cast_34;cast_35;cast_36;cast_37;cast_38;cast_39;cast_40;cast_41;cast_42;cast_43;cast_44;cast_45;cast_46;cast_47;cast_48;cast_49;cast_50
s2157;TV Show;Tiny Creatures;;United States;August 7, 2020;2020;TV-PG;1 Season;Docuseries, Science & Nature TV, TV Action & Adventure;Mike Colter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2158;TV Show;Wizards: Tales of Arcadia;;United States;August 7, 2020;2020;TV-Y7;1 Season;Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy;Colin O'Donoghue; David Bradley; Lena Headey; Emile Hirsch; Lexi Medrano; Steven Yeun; Alfred Molina; James Faulkner; Stephanie Beatriz; John Rhys-Davies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2159;TV Show;Word Party Songs;;United States;August 7, 2020;2020;TV-Y;1 Season;Kids' TV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2160;Movie;Work It;Laura Terruso;United States;August 7, 2020;2020;TV-14;94 min;Comedies;Sabrina Carpenter; Jordan Fisher; Liza Koshy; Keiynan Lonsdale; Michelle Buteau; Drew Ray Tanner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2161;TV Show;Ever After High;;Canada;August 6, 2020;2016;TV-Y7;5 Seasons;Kids' TV;Jonquil Goode; Karen Strassman; Audu Paden; Julie Maddalena; Marieve Herington; Rena Strober; Evan Smith; Wendee Lee; Haviland Stillwell; Valerie Arem; Cam Clarke; Colleen Foy; Cindy Robinson; Joe Sanfelippo; Jamieson Price; Debi Derryberry; Lindsey Ames; Rajo Zakic; Erin Fitzgerald; Malcolm Danare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2162;Movie;Nasha Natasha;Martín Sastre;Uruguay;August 6, 2020;2020;TV-PG;72 min;Documentaries, International Movies, Music & Musicals;Natalia Oreiro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2163;TV Show;The Rain;;Denmark, United States;August 6, 2020;2020;TV-MA;3 Seasons;International TV Shows, TV Dramas, TV Mysteries;Alba August; Lucas Lynggaard Tønnesen; Mikkel Boe Følsgaard; Lukas Løkken; Jessica Dinnage; Sonny Lindberg; Angela Bundalovic; Lars Simonsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2164;Movie;Anelka: Misunderstood;Franck Nataf;France;August 5, 2020;2020;TV-14;95 min;Documentaries, International Movies, Sports Movies;Nicolas Anelka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2165;Movie;Sin City;Pascal Amanfo;;August 5, 2020;2019;TV-14;101 min;International Movies, Thrillers;Yvonne Nelson; Kunle Remi; Adjetey Anang; Oscar Provencal; Michelle McKinney Hammond; Rosaline Meurer; Kweku Elliot; Regina Van Helvert; Alhaji Fadika; Isaac Akwesi Awonor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2166;TV Show;World's Most Wanted;;United States;August 5, 2020;2020;TV-14;1 Season;Crime TV Shows, Docuseries, International TV Shows;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2167;Movie;A Go! Go! Cory Carson Summer Camp;Stanley Moore, Alex Woo;;August 4, 2020;2020;TV-Y;21 min;Children & Family Movies;Alan C. Lim; Smith Foreman; Abigail Vibat; Pfifer Chastain; Jim Capobianco; Neena-Sinaii Simpo; Eli Morse; Adelaide Hirasaki; Paul Killam; Kerry Gudjohnsen; Maisie Benson;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2168;Movie;Malibu Rescue: The Next Wave;Savage Steve Holland;United States;August 4, 2020;2020;TV-G;71 min;Children & Family Movies, Comedies;Ricardo Hurtado; Breanna Yde; Jackie R. Jacobson; Abby Donnelly; Alkoya Brunson; Jeff Meacham; Ella Gross; Carlos Sanson; JT Neal; Camaron Engels; Kirrilee Berger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2169;TV Show;Mystery Lab;;Brazil;August 4, 2020;2020;TV-PG;1 Season;Docuseries, International TV Shows, Science & Nature TV;Felipe Castanhari; Lilian Regina; Bruno Miranda; Guilherme Briggs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2170;Movie;Sam Jay: 3 In The Morning;Kristian Mercado;United States;August 4, 2020;2020;TV-MA;64 min;Stand-Up Comedy;Sam Jay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2171;TV Show;Immigration Nation;;United States;August 3, 2020;2020;TV-MA;1 Season;Docuseries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2172;Movie;Almost Love;Mike Doyle;United States;August 2, 2020;2020;TV-MA;92 min;Comedies, Dramas, Independent Movies;Scott Evans; Augustus Prew; Kate Walsh; Michelle Buteau; Zoë Chao; Patricia Clarkson; Colin Donnell; Christopher Gray;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2173;Movie;Killing Hasselhoff;Darren Grant;United States;August 1, 2020;2017;R;80 min;Comedies;Ken Jeong; David Hasselhoff; Jim Jefferies; Jon Lovitz; Rhys Darby; Dan Bakkedahl; Jennifer Ikeda; Will Sasso; Colton Dunn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2174;TV Show;Moesha;;United States;August 1, 2020;2000;TV-PG;6 Seasons;TV Comedies, Teen TV Shows;Brandy Norwood; William Allen Young; Sheryl Lee Ralph; Countess Vaughn; Lamont Bentley; Shar Jackson; Marcus T. Paulk; Yvette Wilson;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2175;TV Show;My Perfect Landing;;Canada;August 1, 2020;2020;TV-G;1 Season;Kids' TV;Morgan Wigle; Tom Hulshof; Helena Marie; Shawn Thompson; Natasha Zaborski; Ajanae Stephenson; Francesca Van Keekan; Jordan Clark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2176;TV Show;Nagi-Asu: A Lull in the Sea;;Japan;August 1, 2020;2014;TV-14;1 Season;Anime Series, Romantic TV Shows, Teen TV Shows;Natsuki Hanae; Kana Hanazawa; Ai Kayano; Ryota Osaka; Kaito Ishikawa; Mikako Komatsu; Kaori Ishihara; Kaori Nazuka; Masuo Amada; Junji Majima; Motomu Kiyokawa; Kohsuke Toriumi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2177;Movie;Rogue Warfare: The Hunt;Mike Gunther;United States;August 1, 2020;2020;R;104 min;Action & Adventure;Will Yun Lee; Jermaine Love; Rory Markham; Bertrand-Xavier Corbi; Katie Keene; Fernando Chien; Gina DeCesare; Michael Blalock; Chris Mulkey; Stephen Lang;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2178;Movie;Super Monsters: The New Class;Steve Ball;Canada;August 1, 2020;2020;TV-Y;25 min;Children & Family Movies;Elyse Maloway; Vincent Tong; Erin Mathews; Andrea Libman; Alessandro Juliani; Nicole Anthony; Diana Kaarina; Gigi Saul Guerrero; Asia Mattu; Rukiya Bernard; Elicia MacKenzie; Ian James Corlett; Britt McKillip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2179;TV Show;The Next Step;;Canada;August 1, 2020;2018;TV-G;1 Season;Kids' TV, Reality TV, TV Dramas;Shamier Anderson; Victoria Baldesarra; Alexandra Beaton; Jordan Clark; Brennan Clost; Samantha Grecchi; Lamar Johnson; Isaac Lupien; Trevor Tordjman; Brittany Raymond; Bree Wasylenko; Jennifer Pappas; Tamina Pollack-Paris; Logan Fabbro; Megan Mackenzie; Alex Beaton; Natalie Krill;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2180;Movie;The Ottoman Lieutenant;Joseph Ruben;Turkey, United States;August 1, 2020;2017;R;111 min;Dramas, Romantic Movies;Michiel Huisman; Hera Hilmar; Josh Hartnett; Ben Kingsley; Haluk Bilginer; Affif Ben Badra; Paul Barrett; Jessica Turner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2181;TV Show;Toradora!;;Japan;August 1, 2020;2008;TV-14;1 Season;Anime Series, International TV Shows, Romantic TV Shows;Rie Kugimiya; Junji Majima; Yui Horie; Hirofumi Nojima; Eri Kitamura; Sayaka Ohara; Ai Nonaka; Momoko Ishikawa; Hiroyuki Yoshino; Kazuyuki Okitsu; Rie Tanaka; Yuhko Kaida; Saori Goto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2182;TV Show;Transformers Rescue Bots Academy;;United States;August 1, 2020;2020;TV-Y;2 Seasons;Kids' TV;Adam Andrianopolous; Pierce Cravens; Xander Crowell; Paul Guyet; Michael Hansen; Mason Hensley; Courtney Shaw; Alan Trinca; Keyon Williams; Andy Zou;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2183;Movie;Tumi or not Tumi;Mfanelo Ngoma;;August 1, 2020;2020;TV-MA;72 min;Stand-Up Comedy;Tumi Morake;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2184;Movie;What Keeps You Alive;Colin Minihan;Canada;August 1, 2020;2018;R;99 min;LGBTQ Movies, Thrillers;Hannah Emily Anderson; Brittany Allen; Martha MacIsaac; Joey Klein; Charlotte Lindsay Marron;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2185;TV Show;Get Even;;United Kingdom;July 31, 2020;2020;TV-PG;1 Season;British TV Shows, Crime TV Shows, International TV Shows;Kim Adis; Mia McKenna-Bruce; Bethany Antonia; Jessica Alexander;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2186;Movie;Latte and the Magic Waterstone;Regina Welker, Nina Wels;Germany;July 31, 2020;2020;TV-Y;83 min;Children & Family Movies, Comedies;Ashley Bornancin; Carter Hastings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2187;Movie;Raat Akeli Hai;Honey Trehan;India;July 31, 2020;2020;TV-MA;150 min;Dramas, International Movies, Thrillers;Nawazuddin Siddiqui; Radhika Apte; Khalid Tyabji; Aditya Srivastava; Padmavati Rao; Shivani Raghuvanshi; Nishant Dahiya; Shweta Tripathi; Gyanendra Tripathi; Shreedhar Dubey; Swanand Kirkire; Riya Shukla; Tigmanshu Dhulia; Ila Arun; Natasha Rastogi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2188;Movie;Seriously Single;Katleho Ramaphakela, Rethabile Ramaphakela;South Africa;July 31, 2020;2020;TV-MA;108 min;Comedies, International Movies, Romantic Movies;Fulu Mugovhani; Tumi Morake; Bohang Moeko; Yonda Thomas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2189;Movie;Sugar High;Ariel Boles;United States;July 31, 2020;2020;TV-G;44 min;Children & Family Movies;Hunter March;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2190;TV Show;Sugar Rush;;United States;July 31, 2020;2020;TV-PG;3 Seasons;Reality TV;Candace Nelson; Adriano Zumbo; Hunter March;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2191;TV Show;The Umbrella Academy;;United States, Canada;July 31, 2020;2020;TV-14;2 Seasons;TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2192;Movie;Retablo;Álvaro Delgado-Aparicio L.;Peru, Germany, Norway;July 30, 2020;2017;TV-MA;102 min;Dramas, International Movies;Junior Béjar Roca; Amiel Cayo; Magaly Solier; Hermelinda Luján; Mauro Chuchón; Claudia Solís; Coco Chiarella;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2193;TV Show;Transformers: War For Cybertron Trilogy;;United States;July 30, 2020;2020;TV-Y7;1 Season;Anime Series;Jake Foushee; Jason Marnocha; Linsay Rousseau; Joe Zieja; Frank Todaro; Bill Rogers; Keith Silverstein; Edward Bosco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2194;Movie;Uma Maheswara Ugra Roopasya;Venkatesh Maha;India;July 30, 2020;2020;TV-MA;137 min;Comedies, Dramas, Independent Movies;Satya Dev; VK Naresh; Raghavan; Suhas P; Ravindra Vijay; Chandana Koppisetti; Roopa Koduvayur; Kushalini Pulapa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2195;TV Show;Unlucky Ploy;Nopparoj Chotmunkongsit;;July 30, 2020;2020;TV-MA;1 Season;International TV Shows, Romantic TV Shows, TV Comedies;Anusorn Maneethet; Atsadaporn Siriwattanakul; Waratthaya Wongchayaporn; Thanawetch Siriwattanakul; Pokchat Thiamchai; Phichikorn Ployphimana; Supachai Suwanon; Daraneenuch Pasutanavin; Kittiphong Dumavibhat; Aphiradi Phawaphutanon; Attharut Krongrasri; Ronnawee Sereerat; Lita Janvarapa; Sitang Punnapob; Yani Tramod;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2196;Movie;It's Her Day;Aniedi Anwah;Nigeria;July 29, 2020;2016;TV-MA;112 min;Comedies, International Movies, Romantic Movies;Bovi Ugboma; Amanda Ebeye; Shaffy Bello; Adunni Ade; Ini Dima-Okojie; 'Najite Dede; Gregory Ojefua; Thelma Ezeamaka; Femi Durojaiye; Ese Lami George; Toni Tones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2197;Movie;Redemption;Mickey Fonseca;Mozambique;July 29, 2020;2019;TV-MA;102 min;Dramas, International Movies, Thrillers;Gil Alexandre; Arlete Bombe; Rashid Abdul; Laquino Fonseca; Tomas Bie; Candido Quembo; Jorge Amade; Aldovina Chiziane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2198;Movie;Shine Your Eyes;Matias Mariani;Brazil, France;July 29, 2020;2020;TV-MA;103 min;Dramas, Independent Movies, International Movies;O.C. Ukeje; Indira Nascimento; Paulo André; Ike Barry; Chukwudi Iwuji;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2199;Movie;The Hater;Jan Komasa;Poland;July 29, 2020;2020;TV-MA;136 min;Dramas, International Movies, Thrillers;Maciej Musiałowski; Agata Kulesza; Danuta Stenka; Vanessa Aleksander; Maciej Stuhr; Jacek Koman; Adam Gradowski; Piotr Biedron; Martynika Kosnica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2200;Movie;The Speed Cubers;Sue Kim;United States;July 29, 2020;2020;TV-PG;41 min;Documentaries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2201;Movie;Tread;Paul Solet;United States;July 29, 2020;2019;TV-MA;88 min;Documentaries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2202;TV Show;Last Chance U;;United States;July 28, 2020;2020;TV-MA;5 Seasons;Docuseries;John Franklin III; DJ Law; Buddy Stephens; Brittany Wagner; Ronald Ollie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2203;Movie;Banana Split;Ben Kasulke;United States;July 26, 2020;2020;TV-MA;84 min;Comedies, Dramas, Independent Movies;Hannah Marks; Liana Liberato; Dylan Sprouse; Luke Spencer Roberts; Jessica Hecht; Addison Riecke; Meagan Kimberly Smith; Haley Ramm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2204;TV Show;Shameless (U.S.);;United States;July 26, 2020;2019;TV-MA;10 Seasons;TV Comedies, TV Dramas;William H. Macy; Emmy Rossum; Justin Chatwin; Cameron Monaghan; Jeremy Allen White; Shanola Hampton; Steve Howey; Ethan Cutkosky; Emma Kenney; Laura Wiggins; Joan Cusack;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2205;Movie;Door Ke Darshan;Gagan Puri;India;July 25, 2020;2020;TV-14;114 min;Comedies, International Movies;Dolly Ahluwalia; Manu Rishi Chadha; Mahie Gill; Shardul Rana; Archita Sharma; Rajesh Sharma; Supriya Shukla; Mehak Manwani;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2206;Movie;Double World;Teddy Chan;China;July 25, 2020;2020;TV-14;110 min;Action & Adventure, International Movies;Henry Lau; Peter Ho; Lin Chenhan; Jiang Luxia; Ming Hu; Him Law; Shi Shi; Mark Cheng; Wang Ziyi; Xu Minghu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2207;Movie;Project Marathwada;Bhavin Wadia;India;July 25, 2020;2016;TV-MA;103 min;Dramas, Independent Movies, International Movies;Om Puri; Seema Biswas; Kunal Sheth; Rahul Patel; Katarina Kajkus; Farrah Kader; Govind Namdeo; Dalip Tahil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2208;Movie;Animal Crackers;Tony Bancroft, Scott Christian Sava;China, Spain, South Korea, United States;July 24, 2020;2020;TV-Y7;106 min;Children & Family Movies, Comedies;Emily Blunt; John Krasinski; Ian McKellen; Danny DeVito; Raven-Symoné; Patrick Warburton; Wallace Shawn; Gilbert Gottfried; Tara Strong; Harvey Fierstein; James Arnold Taylor; Kevin Grevioux; Sylvester Stallone; Lydia Rose Taylor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2209;Movie;Dragons: Rescue Riders: Secrets of the Songwing;Greg Rankin, TJ Sullivan;United States;July 24, 2020;2020;TV-Y;46 min;Children & Family Movies, Comedies;Noah Kaye Bentley; Brennley Brown; Zach Callison; Nicolas Cantu; Skai Jackson; Marsai Martin; Andre Robinson; Carlos Alazraqui; Renée Elise Goldsberry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2210;Movie;Nimbe;Tope Alake;Nigeria;July 24, 2020;2019;TV-MA;115 min;Dramas, International Movies;Odunlade Adekola; Chimezie Imo; Sani Danja; Rachael Okonkwo; Broda Shaggi; Toyin Abraham; Kelechi Udegbe; Doyin Abiola; Molawa Davis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2211;Movie;Offering to the Storm;Fernando González Molina;Spain, Germany;July 24, 2020;2020;TV-MA;140 min;International Movies, Thrillers;Marta Etura; Leonardo Sbaraglia;" Carlos Librado ""Nene"""; Francesc Orella; Imanol Arias; Álvaro Cervantes; Itziar Aizpuru; Benn Northover; Marta Larralde; Alicia Sánchez; Eduardo Rosa; Angel Alkain; Ana Wagener; Paco Tous; Patricia López Arnaiz; Pedro Casablanc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2212;Movie;Romance Doll;Yuki Tanada;Japan;July 24, 2020;2020;TV-MA;124 min;Dramas, International Movies, Romantic Movies;Issey Takahashi; Yuu Aoi; Kenta Hamano; Toko Miura; Koji Ohkura; Pierre Taki; Eri Watanabe; Kitaro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2213;TV Show;Sing On! Spain;;Spain;July 24, 2020;2020;TV-G;1 Season;International TV Shows, Reality TV, Spanish-Language TV Shows;Ricky Merino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2214;Movie;The Kissing Booth 2;Vince Marcello;United Kingdom, United States;July 24, 2020;2020;TV-14;133 min;Comedies, Romantic Movies;Joey King; Joel Courtney; Jacob Elordi; Molly Ringwald; Taylor Zakhar Perez; Maisie Richardson-Sellers; Meganne Young;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2215;TV Show;Sinatra: All or Nothing at All;Alex Gibney;United States;July 23, 2020;2015;TV-14;1 Season;Docuseries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2216;Movie;The Larva Island Movie;Ahn Byoung-wook;South Korea;July 23, 2020;2020;TV-Y7;91 min;Children & Family Movies, Comedies;Hong Bum-ki; Eddy Lee; Kang Shi-hyun; Ahn Hyo-min; Kim Yeon-woo; Choi Nak-yoon; Tom Wayland; Erica Schroeder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2217;Movie;The Letter Reader;Sibusiso Khuzwayo;South Africa;July 23, 2020;2019;TV-PG;30 min;Dramas, International Movies;Bahle Mashinini; Nomalanga Shabane; Andile Gumbi; Nokuthula Mazibuko;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2218;TV Show;Fear City: New York vs The Mafia;;United States;July 22, 2020;2020;TV-MA;1 Season;Crime TV Shows, Docuseries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2219;TV Show;Norsemen;;Norway;July 22, 2020;2020;TV-MA;3 Seasons;International TV Shows, TV Comedies;Kåre Conradi; Silje Torp; Nils Jørgen Kaalstad; Marian Saastad Ottesen; Trond Fausa; Kristine Riis; Jon Øigarden; Henrik Mestad; Øystein Martinsen; Mikkel Bratt Silset; Mads Jørgensen; Nikis Theophilakis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2220;Movie;The Remix: Hip Hop X Fashion;Lisa Cortés, Farah X;United States;July 22, 2020;2019;TV-MA;67 min;Documentaries, Music & Musicals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2221;Movie;Ip Man 4: The Finale;Wilson Yip;Hong Kong, China;July 21, 2020;2019;TV-MA;105 min;Action & Adventure, Dramas, International Movies;Donnie Yen; Wu Yue; Vanness Wu; Scott Adkins; Kent Cheng; Danny Chan Kwok-kwan; Kanin Ngo; Chris Collins; Vanda Margraf; Meng Lo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2222;Movie;Jack Whitehall: I'm Only Joking;Dave Skinner, Freddie Waters;United Kingdom;July 21, 2020;2020;TV-MA;58 min;Stand-Up Comedy;Jack Whitehall;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2223;TV Show;Street Food: Latin America;;;July 21, 2020;2020;TV-PG;1 Season;Docuseries, Spanish-Language TV Shows;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2224;TV Show;Killer Women with Piers Morgan;;United Kingdom;July 19, 2020;2017;TV-MA;1 Season;British TV Shows, Crime TV Shows, Docuseries;Piers Morgan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2225;Movie;Funan;Denis Do;France, Belgium, Luxembourg, Cambodia,;July 18, 2020;2018;TV-14;87 min;Dramas, International Movies;Bérénice Bejo; Louis Garrel; Colette Kieffer; Aude-Laurence Clermont Biver; Brice Montagne; Franck Sasonoff; Hervé Sogne; Maxime Baudoin; Tom Trouffier; Lila Lacombe; Céline Ronté; Emilie Marié; Thierry Jahn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2226;TV Show;Gigantosaurus;;France;July 18, 2020;2019;TV-Y;1 Season;Kids' TV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2227;TV Show;Single Wives;;Australia;July 18, 2020;2018;TV-MA;1 Season;Reality TV, Romantic TV Shows;Fifi Box; Matthew Hussey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2228;TV Show;Cursed;;United Kingdom, Australia;July 17, 2020;2020;TV-MA;1 Season;TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy;Katherine Langford; Devon Terrell; Gustaf Skarsgård; Daniel Sharman; Sebastian Armesto; Lily Newmark; Shalom Brune-Franklin; Matt Stokoe; Bella Dayne; Peter Mullan; Emily Coates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2229;Movie;Father Soldier Son;Leslye Davis, Catrin Einhorn;United States;July 17, 2020;2020;R;100 min;Documentaries;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2230;TV Show;In The Dark;;United States;July 17, 2020;2020;TV-14;2 Seasons;Crime TV Shows, TV Dramas;Perry Mattfeld; Brooke Markham; Casey Deidrick; Keston John; Morgan Krantz; Rich Sommer; Thamela Mpumlwana; Saycon Sengbloh; Kathleen York; Derek Webster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2231;TV Show;Kissing Game;;Brazil;July 17, 2020;2020;TV-MA;1 Season;International TV Shows, TV Dramas, TV Mysteries;Caio Horowicz; Iza Moreira; Michel Joelsas; Denise Fraga; Thomás Aquino; Luana Nastas; Esther Tinman; Kevin Vechiatto; Grace Passô; Bianca Byington; Bruno Garcia; Flávio Tolezani; Carolina del Carmen Peleritti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2232;Movie;The Millions;Toka McBaror, Tunde Apalowo;Nigeria;July 17, 2020;2019;TV-MA;95 min;Comedies, International Movies;Ramsey Nouah; Blossom Chukwujekwu; Ayo Makun; Nancy Isime; Ali Nuhu; Folusho Durojaiye; Toyin Abraham; Chika Lann; Broda Shaggi; Etinosa Idemudia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2233;Movie;Fatal Affair;Peter Sullivan;United States;July 16, 2020;2020;TV-14;90 min;Thrillers;Nia Long; Omar Epps; Stephen Bishop; Maya Stojan; Aubrey Cleland; Carolyn Hennesy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2234;Movie;MILF;Axelle Laffont;France, Belgium;July 16, 2020;2018;TV-MA;102 min;Comedies, International Movies, Romantic Movies;Virginie Ledoyen; Marie-Josée Croze; Axelle Laffont; Matthias Dandois; Victor Meutelet; Waël Sersoub; Florence Thomassin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
s2235;Movie;Cold Feet;Moses Inwang;Nigeria;July 15, 2020;2019;TV-14;98 min;Dramas, International Movies, Romantic Movies;Jim Iyke; Joselyn Dumas; Enyinna Nwigwe; Beverly Naya; Femi Adebayo; Segun Arinze; Padita Agu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
